Orthogroup	drosophila_melanogaster_filt	drosophila_persimilis_filt	drosophila_pseudoobscura_filt	drosophila_sechellia_filt	drosophila_simulans_filt	drosophila_subobscura_filt
OG0001401	lcl|NC_004354.4_cds_NP_001245448.1_112	lcl|NW_020825338.1_cds_XP_026847727.1_16318	lcl|NC_046683.1_cds_XP_015041414.2_20087	lcl|NC_045954.1_cds_XP_032582572.1_19813	lcl|NC_052525.2_cds_XP_016037545.2_21704	lcl|NC_048530.1_cds_XP_034671221.1_2959
OG0001430	lcl|NC_004354.4_cds_NP_652634.1_215	lcl|NW_020825317.1_cds_XP_002022017.1_13719	lcl|NC_046683.1_cds_XP_001354491.2_21274	lcl|NC_045954.1_cds_XP_002040288.1_19902	lcl|NC_052525.2_cds_XP_016037608.2_21788	lcl|NC_048530.1_cds_XP_034671186.1_872
OG0001491	lcl|NC_004354.4_cds_NP_001014714.1_365	lcl|NW_020825317.1_cds_XP_002021929.2_13821	lcl|NC_046683.1_cds_XP_001355429.4_21394	lcl|NC_045954.1_cds_XP_032580028.1_19997	lcl|NC_052525.2_cds_XP_016037681.1_21900	lcl|NC_048530.1_cds_XP_034649887.1_584
OG0001494	lcl|NC_004354.4_cds_NP_569927.1_376	lcl|NW_020825317.1_cds_XP_026845957.1_13824	lcl|NC_046683.1_cds_XP_015041145.2_21401	lcl|NC_045954.1_cds_XP_032581753.1_20003	lcl|NC_052525.2_cds_XP_039153074.1_21907	lcl|NC_048530.1_cds_XP_034668793.1_578
OG0001500	lcl|NC_004354.4_cds_NP_477365.1_410	lcl|NW_020825317.1_cds_XP_026845897.1_13831	lcl|NC_046683.1_cds_XP_001355423.4_21417	lcl|NC_045954.1_cds_XP_002040383.1_20022	lcl|NC_052525.2_cds_XP_039153112.1_21923	lcl|NC_048530.1_cds_XP_034649983.1_568
OG0001581	lcl|NC_004354.4_cds_NP_001027038.3_701	lcl|NW_020825317.1_cds_XP_026845949.1_13666	lcl|NC_046683.1_cds_XP_015042333.2_21202	lcl|NC_045954.1_cds_XP_032580035.1_20194	lcl|NC_052525.2_cds_XP_039152482.1_22114	lcl|NC_048530.1_cds_XP_034667172.1_806
OG0001711	lcl|NC_004354.4_cds_NP_572194.1_1127	lcl|NW_020825324.1_cds_XP_002022565.1_14571	lcl|NC_046683.1_cds_XP_001355645.2_17323	lcl|NC_045954.1_cds_XP_002036963.1_20476	lcl|NC_052525.2_cds_XP_002106161.1_22479	lcl|NC_048530.1_cds_XP_034668124.1_741
OG0001772	lcl|NC_004354.4_cds_NP_572269.1_1320	lcl|NW_020825350.1_cds_XP_026848420.1_17347	lcl|NC_046683.1_cds_XP_033238201.1_20272	lcl|NC_045954.1_cds_XP_032581221.1_20635	lcl|NC_052525.2_cds_XP_016038234.1_22686	lcl|NC_048530.1_cds_XP_034657972.1_3800
OG0001898	lcl|NC_004354.4_cds_NP_572395.2_1713	lcl|NW_020825361.1_cds_XP_026849312.1_18706	lcl|NC_046683.1_cds_XP_001355149.2_17936	lcl|NC_045954.1_cds_XP_002043227.1_20908	lcl|NC_052525.2_cds_XP_002106377.1_22956	lcl|NC_048530.1_cds_XP_034653420.1_3164
OG0001914	lcl|NC_004354.4_cds_NP_572406.1_1754	lcl|NW_020825356.1_cds_XP_002022730.2_18040	lcl|NC_046683.1_cds_XP_001355159.3_17888	lcl|NC_045954.1_cds_XP_002043252.1_20942	lcl|NC_052525.2_cds_XP_002106397.2_22998	lcl|NC_048530.1_cds_XP_034671031.1_3123
OG0001918	lcl|NC_004354.4_cds_NP_572410.2_1763	lcl|NW_020825356.1_cds_XP_002022742.2_18052	lcl|NC_046683.1_cds_XP_001355211.3_17876	lcl|NC_045954.1_cds_XP_032582604.1_20948	lcl|NC_052525.2_cds_XP_016038442.1_23005	lcl|NC_048530.1_cds_XP_034671023.1_3115
OG0001920	lcl|NC_004354.4_cds_NP_572411.1_1770	lcl|NW_020825356.1_cds_XP_002022746.1_18055	lcl|NC_046683.1_cds_XP_015042164.2_17868	lcl|NC_045954.1_cds_XP_032581121.1_20951	lcl|NC_052525.2_cds_XP_016038445.1_23009	lcl|NC_048530.1_cds_XP_034672140.1_3110
OG0001921	lcl|NC_004354.4_cds_NP_001138175.1_1772	lcl|NW_020825356.1_cds_XP_026848943.1_18056	lcl|NC_046683.1_cds_XP_001355210.4_17867	lcl|NC_045954.1_cds_XP_002044452.1_20953	lcl|NC_052525.2_cds_XP_002106410.3_23011	lcl|NC_048530.1_cds_XP_034672142.1_3107
OG0001922	lcl|NC_004354.4_cds_NP_001138176.1_1773	lcl|NW_020825356.1_cds_XP_026848935.1_18057	lcl|NC_046683.1_cds_XP_015042163.2_17866	lcl|NC_045954.1_cds_XP_032581772.1_20954	lcl|NC_052525.2_cds_XP_016038449.1_23012	lcl|NC_048530.1_cds_XP_034672147.1_3105
OG0001923	lcl|NC_004354.4_cds_NP_001138177.1_1774	lcl|NW_020825356.1_cds_XP_026848944.1_18058	lcl|NC_046683.1_cds_XP_033238157.1_17865	lcl|NC_045954.1_cds_XP_032580961.1_20955	lcl|NC_052525.2_cds_XP_016038450.1_23013	lcl|NC_048530.1_cds_XP_034671022.1_3104
OG0001924	lcl|NC_004354.4_cds_NP_001368933.1_1775	lcl|NW_020825356.1_cds_XP_026848946.1_18060	lcl|NC_046683.1_cds_XP_033237427.1_17862	lcl|NC_045954.1_cds_XP_032580963.1_20957	lcl|NC_052525.2_cds_XP_016038451.1_23014	lcl|NC_048530.1_cds_XP_034672148.1_3103
OG0001942	lcl|NC_004354.4_cds_NP_788884.1_1821	lcl|NW_020825350.1_cds_XP_026848400.1_17307	lcl|NC_046683.1_cds_XP_015041029.2_20221	lcl|NC_045954.1_cds_XP_032581726.1_20990	lcl|NC_052525.2_cds_XP_016038481.1_23043	lcl|NC_048530.1_cds_XP_034671793.1_3040
OG0001976	lcl|NC_004354.4_cds_NP_525079.3_1917	lcl|NW_020825322.1_cds_XP_026846352.1_14320	lcl|NC_046683.1_cds_XP_002133954.2_19712	lcl|NC_045954.1_cds_XP_032582718.1_21066	lcl|NC_052525.2_cds_XP_039152649.1_23130	lcl|NC_048530.1_cds_XP_034649912.1_395
OG0001997	lcl|NC_004354.4_cds_NP_572491.1_1994	lcl|NW_020825361.1_cds_XP_002022647.1_18673	lcl|NC_046683.1_cds_XP_001355129.2_18003	lcl|NC_045954.1_cds_XP_032581369.1_21113	lcl|NC_052525.2_cds_XP_002076916.1_23198	lcl|NC_048530.1_cds_XP_034671468.1_676
OG0002020	lcl|NC_004354.4_cds_NP_001356935.1_2078	lcl|NW_020825324.1_cds_XP_026846418.1_14403	lcl|NC_046683.1_cds_XP_001354991.4_18539	lcl|NC_045954.1_cds_XP_002043959.2_21224	lcl|NC_052525.2_cds_XP_044779559.1_23257	lcl|NC_048530.1_cds_XP_034658545.1_1765
OG0002048	lcl|NC_004354.4_cds_NP_727322.1_2165	lcl|NW_020825359.1_cds_XP_002025041.1_18459	lcl|NC_046683.1_cds_XP_001355631.3_17349	lcl|NC_045954.1_cds_XP_002045336.1_21241	lcl|NC_052525.2_cds_XP_002106531.1_23337	lcl|NC_048530.1_cds_XP_034661647.1_692
OG0002053	lcl|NC_004354.4_cds_NP_727328.1_2174	lcl|NW_020825354.1_cds_XP_002025742.2_17736	lcl|NC_046683.1_cds_XP_002133910.2_19857	lcl|NC_045954.1_cds_XP_002044650.1_21248	lcl|NC_052525.2_cds_XP_044779487.1_23344	lcl|NC_048530.1_cds_XP_034670345.1_635
OG0002071	lcl|NC_004354.4_cds_NP_001033838.1_2221	lcl|NW_020825324.1_cds_XP_002022617.2_14623	lcl|NC_046683.1_cds_XP_002133769.2_17258	lcl|NC_045954.1_cds_XP_002041777.2_21288	lcl|NC_052525.2_cds_XP_016038683.1_23388	lcl|NC_048530.1_cds_XP_034672183.1_443
OG0002092	lcl|NC_004354.4_cds_NP_572586.2_2282	lcl|NW_020825330.1_cds_XP_002023051.1_15237	lcl|NC_046683.1_cds_XP_001354403.1_16968	lcl|NC_045954.1_cds_XP_002041812.1_21328	lcl|NC_052525.2_cds_XP_002077360.1_23437	lcl|NC_048530.1_cds_XP_034661855.1_2237
OG0002098	lcl|NC_004354.4_cds_NP_572591.1_2295	lcl|NW_020825330.1_cds_XP_026846977.1_15247	lcl|NC_046683.1_cds_XP_001354409.3_16978	lcl|NC_045954.1_cds_XP_002044839.1_21336	lcl|NC_052525.2_cds_XP_016038720.1_23446	lcl|NC_048530.1_cds_XP_034649898.1_2229
